state,year,statetotal,origin,stateorigin,city,people,annualtotal
North Carolina,2009,2247,Afghanistan,2,Charlotte,0,74654
North Carolina,2010,2342,Afghanistan,4,Charlotte,3,73309
North Carolina,2011,2128,Afghanistan,4,Charlotte,0,56424
North Carolina,2012,2110,Afghanistan,27,Charlotte,0,58238
North Carolina,2013,2377,Afghanistan,17,Charlotte,0,69926
North Carolina,2014,2443,Afghanistan,36,Charlotte,0,69987
North Carolina,2015,2475,Afghanistan,31,Charlotte,5,69933
North Carolina,2016,3342,Afghanistan,143,Charlotte,15,84994
North Carolina,2017,1916,Afghanistan,44,Charlotte,9,53716
North Carolina,2018,937,Afghanistan,24,Charlotte,2,22491
North Carolina,2009,2247,Afghanistan,2,Durham,0,74654
North Carolina,2010,2342,Afghanistan,4,Durham,0,73309
North Carolina,2011,2128,Afghanistan,4,Durham,3,56424
North Carolina,2012,2110,Afghanistan,27,Durham,3,58238
North Carolina,2013,2377,Afghanistan,17,Durham,0,69926
North Carolina,2014,2443,Afghanistan,36,Durham,1,69987
North Carolina,2015,2475,Afghanistan,31,Durham,2,69933
North Carolina,2016,3342,Afghanistan,143,Durham,39,84994
North Carolina,2017,1916,Afghanistan,44,Durham,15,53716
North Carolina,2018,937,Afghanistan,24,Durham,3,22491
North Carolina,2009,2247,Afghanistan,2,Greensboro,0,74654
North Carolina,2010,2342,Afghanistan,4,Greensboro,1,73309
North Carolina,2011,2128,Afghanistan,4,Greensboro,0,56424
North Carolina,2012,2110,Afghanistan,27,Greensboro,3,58238
North Carolina,2013,2377,Afghanistan,17,Greensboro,0,69926
North Carolina,2014,2443,Afghanistan,36,Greensboro,0,69987
North Carolina,2015,2475,Afghanistan,31,Greensboro,0,69933
North Carolina,2016,3342,Afghanistan,143,Greensboro,11,84994
North Carolina,2017,1916,Afghanistan,44,Greensboro,0,53716
North Carolina,2018,937,Afghanistan,24,Greensboro,0,22491
North Carolina,2009,2247,Afghanistan,2,High Point,2,74654
North Carolina,2010,2342,Afghanistan,4,High Point,0,73309
North Carolina,2011,2128,Afghanistan,4,High Point,1,56424
North Carolina,2012,2110,Afghanistan,27,High Point,0,58238
North Carolina,2013,2377,Afghanistan,17,High Point,0,69926
North Carolina,2014,2443,Afghanistan,36,High Point,9,69987
North Carolina,2015,2475,Afghanistan,31,High Point,0,69933
North Carolina,2016,3342,Afghanistan,143,High Point,30,84994
North Carolina,2017,1916,Afghanistan,44,High Point,0,53716
North Carolina,2018,937,Afghanistan,24,High Point,0,22491
North Carolina,2009,2247,Afghanistan,2,Raleigh,0,74654
North Carolina,2010,2342,Afghanistan,4,Raleigh,0,73309
North Carolina,2011,2128,Afghanistan,4,Raleigh,0,56424
North Carolina,2012,2110,Afghanistan,27,Raleigh,21,58238
North Carolina,2013,2377,Afghanistan,17,Raleigh,17,69926
North Carolina,2014,2443,Afghanistan,36,Raleigh,26,69987
North Carolina,2015,2475,Afghanistan,31,Raleigh,24,69933
North Carolina,2016,3342,Afghanistan,143,Raleigh,46,84994
North Carolina,2017,1916,Afghanistan,44,Raleigh,18,53716
North Carolina,2018,937,Afghanistan,24,Raleigh,19,22491
North Carolina,2009,2247,Afghanistan,2,Winston-Salem,0,74654
North Carolina,2010,2342,Afghanistan,4,Winston-Salem,0,73309
North Carolina,2011,2128,Afghanistan,4,Winston-Salem,0,56424
North Carolina,2012,2110,Afghanistan,27,Winston-Salem,0,58238
North Carolina,2013,2377,Afghanistan,17,Winston-Salem,0,69926
North Carolina,2014,2443,Afghanistan,36,Winston-Salem,0,69987
North Carolina,2015,2475,Afghanistan,31,Winston-Salem,0,69933
North Carolina,2016,3342,Afghanistan,143,Winston-Salem,2,84994
North Carolina,2017,1916,Afghanistan,44,Winston-Salem,2,53716
