city,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018
Greensboro,353,373,319,348,324,393,355,513,307,175
Durham,163,213,257,199,278,216,253,523,295,173
Charlotte,584,646,580,558,592,626,662,712,383,163
New Bern,170,171,180,156,203,163,165,186,80,108
Raleigh,332,421,353,383,460,459,437,505,337,106
High Point,486,306,233,226,302,349,318,431,205,69
Asheville,17,28,37,13,14,7,28,75,61,59
Winston-Salem,2,22,52,41,24,23,19,121,79,47
Candler,0,0,0,8,0,0,0,4,18,9
Matthews,23,11,7,8,1,0,10,19,42,6
,0,0,0,0,0,0,0,0,0,5
Hendersonville,4,0,0,0,0,0,0,0,0,4
Swannanoa,10,0,0,0,0,0,0,7,0,3
Cary,10,4,3,1,7,1,3,10,0,3
North Wilkesboro,0,0,0,0,0,0,0,0,2,2
Manteo,0,0,0,0,0,0,0,0,0,2
Salisbury,2,2,0,0,3,0,0,0,0,1
Hillsborough,0,0,0,0,5,0,0,0,0,1
Fuquay-Varina,0,0,0,0,4,0,0,0,0,1
Indian Trail,0,0,0,6,0,1,0,0,10,0
Morehead City,0,0,0,0,0,0,1,0,0,0
Jamestown,0,0,0,0,0,0,1,3,0,0
Bolivia,0,3,0,0,0,0,0,0,0,0
Garner,0,0,0,0,0,2,0,2,0,0
Chapel Hill,5,16,22,31,17,37,38,31,9,0
Wake Forest,2,1,0,0,0,2,0,0,0,0
Browns Summit,0,0,0,0,0,3,0,0,0,0
Nashville,0,5,0,0,0,0,0,0,0,0
Kannapolis,0,0,1,0,0,0,0,0,0,0
Fayetteville,6,12,4,0,5,4,8,1,7,0
Kill Devil Hills,1,0,0,0,0,0,0,0,0,0
Knightdale,0,6,4,0,0,5,1,3,0,0
Lenoir,0,3,0,0,0,0,0,0,0,0
Dobson,0,0,0,0,0,0,0,2,0,0
Seven Springs,0,0,0,0,2,0,0,0,0,0
Mcleansville,0,0,0,0,0,1,0,0,0,0
Whiteville,1,0,0,0,0,0,0,0,0,0
Willow Spring,0,0,0,0,1,0,0,0,0,0
Midland,0,0,0,3,0,0,0,0,2,0
Taylorsville,0,0,1,0,0,0,0,0,0,0
Greenville,2,0,0,0,0,0,0,1,1,0
Mint Hill,0,0,0,0,0,0,6,0,8,0
Hope Mills,0,0,0,0,0,0,0,1,0,0
Archdale,0,4,0,0,0,0,3,0,0,0
Morrisville,0,7,0,4,0,4,8,0,0,0
Spring Lake,0,0,0,3,0,0,0,0,0,0
Conover,0,0,0,0,0,0,0,0,1,0
Wilmington,0,43,55,58,65,69,97,134,26,0
Zebulon,0,0,0,3,0,0,0,0,0,0
Gastonia,0,0,0,0,1,0,0,0,0,0
Bessemer City,0,0,0,0,0,0,0,2,0,0
Carrboro,48,19,20,30,34,42,15,27,9,0
Walkertown,0,0,0,0,0,0,0,0,1,0
Southern Pines,0,0,0,0,0,0,0,4,0,0
St. Pauls,2,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,3,0,0,0,0
Sanford,0,0,0,0,0,0,1,2,0,0
Clayton,0,0,0,0,0,0,0,2,0,0
Pineville,0,0,0,0,0,0,0,0,1,0
Cullowhee,1,0,0,0,0,0,0,0,0,0
Weddington,0,0,0,0,0,0,0,0,3,0
Thomasville,0,0,0,0,1,0,0,0,0,0
Creedmoor,0,0,0,0,0,0,0,0,3,0
Concord,5,18,0,8,2,5,8,6,0,0
Apex,0,0,0,0,0,3,0,0,0,0
Kernersville,0,0,0,0,0,3,0,0,0,0
Reidsville,3,0,0,0,0,0,0,0,0,0
Roanoke Rapids,7,4,0,0,0,0,0,0,0,0
Asheboro,0,0,0,4,1,11,0,0,0,0
Fairview,0,0,0,0,0,0,5,7,5,0
Burlington,0,0,0,0,2,0,12,0,0,0
Rockingham,0,0,0,1,1,6,0,0,0,0
Jacksonville,3,1,0,0,0,0,0,0,0,0
Goldsboro,0,0,0,10,28,0,3,1,0,0
Monroe,5,3,0,8,0,1,18,6,18,0
Statesville,0,0,0,0,0,4,0,1,0,0
Leicester,0,0,0,0,0,0,0,0,3,0
